address_id,street_address,city,state,zip_code,latitude,longitude
1,86471 Kensington Terrace,San Francisco,California,94142,37.7848,-122.7278
2,269 Esch Avenue,Huntsville,Texas,77343,30.7813,-95.5953
3,5 Atwood Trail,Oklahoma City,Oklahoma,73179,35.4242,-97.6547
4,04 Moland Trail,Vero Beach,Florida,32969,27.709,-80.5726
5,99611 Old Shore Crossing,Charlotte,North Carolina,28215,35.244,-80.7387
6,653 Larry Terrace,Kingsport,Tennessee,37665,36.5799,-82.5733
7,591 Duke Hill,Tulsa,Oklahoma,74108,36.1499,-95.7923
8,702 Gulseth Court,Manassas,Virginia,22111,38.7202,-77.4391
9,86 Randy Road,Los Angeles,California,90050,33.7866,-118.2987
10,2 Superior Drive,Birmingham,Alabama,35242,33.3813,-86.7046
11,9106 Welch Terrace,Young America,Minnesota,55573,45.0159,-93.4719
12,66067 Fulton Avenue,Orlando,Florida,32803,28.5559,-81.3535
13,5 Sunbrook Road,Dayton,Ohio,45454,39.7505,-84.2686
14,88301 Union Pass,Houston,Texas,,29.7971,-95.4958
15,6 Arrowood Alley,Omaha,Nebraska,68105,41.2435,-95.9629
16,0 East Alley,Lake Worth,Florida,33462,26.5747,-80.0794
17,37 Corben Plaza,Utica,New York,13505,43.0872,-75.2603
18,2 Quincy Pass,Cincinnati,Ohio,45296,39.1668,-84.5382
19,9822 Hollow Ridge Court,Salem,Oregon,97306,44.8685,-123.0438
20,162 Morning Junction,Saint Petersburg,Florida,,27.8918,-82.7248
21,6026 Ludington Park,Ogden,Utah,84403,41.1894,-111.9489
22,0 Laurel Place,Albuquerque,New Mexico,87115,35.0549,-106.5461
23,1 Tomscot Park,Green Bay,Wisconsin,54313,44.5463,-88.1021
24,9 Carberry Center,Wichita,Kansas,67220,37.7667,-97.2805
25,431 Sachs Lane,Rochester,New York,,43.1558,-77.6142
26,0055 Summer Ridge Lane,Ogden,Utah,84409,41.2553,-111.9567
27,532 Scoville Terrace,Chattanooga,Tennessee,,35.2211,-85.2091
28,60 Hanover Junction,Richmond,Virginia,23228,37.625,-77.4959
29,1 Grim Court,Pasadena,California,91109,33.7866,-118.2987
30,4 Buena Vista Alley,New Hyde Park,New York,11044,40.7548,-73.6018
31,1089 Orin Pass,Odessa,Texas,79769,31.7466,-102.567
32,0 Canary Crossing,Colorado Springs,Colorado,80945,38.8247,-104.562
33,4257 Rowland Junction,Eugene,Oregon,97405,44.0185,-123.0998
34,6 Ronald Regan Parkway,Philadelphia,Pennsylvania,19104,39.9597,-75.2024
35,1 Messerschmidt Way,Tucson,Arizona,85754,31.9701,-111.8907
36,58613 Mendota Court,Houston,Texas,77271,29.834,-95.4342
37,81670 Sauthoff Plaza,New Orleans,Louisiana,70183,29.6779,-90.0901
38,74 Delladonna Circle,Lynn,Massachusetts,01905,42.4694,-70.9728
39,61658 Lakewood Road,Lexington,Kentucky,40510,38.0702,-84.591
